Device Name: NVIDIA GeForce RTX 3050 Ti Laptop GPU
Max Threads per Block: 1024
Max Threads per Multiprocessor: 1536
Max Blocks per Multiprocessor: 16
Number of SMs: 20


Executing device_main_tiled()
GA:28.000000, SA:28.000000, GB:315.000000, SB:315.000000
GA:28.000000, SA:28.000000, GB:316.000000, SB:316.000000
GA:28.000000, SA:28.000000, GB:317.000000, SB:317.000000
GA:28.000000, SA:28.000000, GB:318.000000, SB:318.000000
GA:28.000000, SA:28.000000, GB:319.000000, SB:319.000000
GA:28.000000, SA:28.000000, GB:320.000000, SB:320.000000
GA:28.000000, SA:28.000000, GB:321.000000, SB:321.000000
GA:28.000000, SA:28.000000, GB:322.000000, SB:322.000000
GA:28.000000, SA:28.000000, GB:323.000000, SB:323.000000
GA:28.000000, SA:28.000000, GB:324.000000, SB:324.000000
GA:28.000000, SA:28.000000, GB:325.000000, SB:325.000000
GA:28.000000, SA:28.000000, GB:326.000000, SB:326.000000
GA:28.000000, SA:28.000000, GB:327.000000, SB:327.000000
GA:60.000000, SA:60.000000, GB:312.000000, SB:312.000000
GA:60.000000, SA:60.000000, GB:313.000000, SB:313.000000
GA:60.000000, SA:60.000000, GB:314.000000, SB:314.000000
GA:60.000000, SA:60.000000, GB:315.000000, SB:315.000000
GA:60.000000, SA:60.000000, GB:316.000000, SB:316.000000
GA:60.000000, SA:60.000000, GB:317.000000, SB:317.000000
GA:60.000000, SA:60.000000, GB:318.000000, SB:318.000000
GA:60.000000, SA:60.000000, GB:319.000000, SB:319.000000
GA:60.000000, SA:60.000000, GB:320.000000, SB:320.000000
GA:60.000000, SA:60.000000, GB:321.000000, SB:321.000000
GA:60.000000, SA:60.000000, GB:322.000000, SB:322.000000
GA:60.000000, SA:60.000000, GB:323.000000, SB:323.000000
GA:60.000000, SA:60.000000, GB:324.000000, SB:324.000000
GA:60.000000, SA:60.000000, GB:325.000000, SB:325.000000
GA:60.000000, SA:60.000000, GB:326.000000, SB:326.000000
GA:60.000000, SA:60.000000, GB:327.000000, SB:327.000000
GA:348.000000, SA:348.000000, GB:312.000000, SB:312.000000
GA:348.000000, SA:348.000000, GB:313.000000, SB:313.000000
GA:348.000000, SA:348.000000, GB:314.000000, SB:314.000000
GA:348.000000, SA:348.000000, GB:315.000000, SB:315.000000
GA:348.000000, SA:348.000000, GB:316.000000, SB:316.000000
GA:348.000000, SA:348.000000, GB:317.000000, SB:317.000000
GA:348.000000, SA:348.000000, GB:318.000000, SB:318.000000
GA:348.000000, SA:348.000000, GB:319.000000, SB:319.000000
GA:348.000000, SA:348.000000, GB:320.000000, SB:320.000000
GA:348.000000, SA:348.000000, GB:321.000000, SB:321.000000
GA:348.000000, SA:348.000000, GB:322.000000, SB:322.000000
GA:348.000000, SA:348.000000, GB:323.000000, SB:323.000000
GA:348.000000, SA:348.000000, GB:324.000000, SB:324.000000
GA:348.000000, SA:348.000000, GB:325.000000, SB:325.000000
GA:348.000000, SA:348.000000, GB:326.000000, SB:326.000000
GA:348.000000, SA:348.000000, GB:327.000000, SB:327.000000
GA:380.000000, SA:380.000000, GB:312.000000, SB:312.000000
GA:380.000000, SA:380.000000, GB:313.000000, SB:313.000000
GA:380.000000, SA:380.000000, GB:314.000000, SB:314.000000
GA:380.000000, SA:380.000000, GB:315.000000, SB:315.000000
GA:380.000000, SA:380.000000, GB:316.000000, SB:316.000000
GA:380.000000, SA:380.000000, GB:317.000000, SB:317.000000
GA:380.000000, SA:380.000000, GB:318.000000, SB:318.000000
GA:380.000000, SA:380.000000, GB:319.000000, SB:319.000000
GA:380.000000, SA:380.000000, GB:320.000000, SB:320.000000
GA:380.000000, SA:380.000000, GB:321.000000, SB:321.000000
GA:380.000000, SA:380.000000, GB:322.000000, SB:322.000000
GA:380.000000, SA:380.000000, GB:323.000000, SB:323.000000
GA:380.000000, SA:380.000000, GB:324.000000, SB:324.000000
GA:380.000000, SA:380.000000, GB:325.000000, SB:325.000000
GA:380.000000, SA:380.000000, GB:326.000000, SB:326.000000
GA:380.000000, SA:380.000000, GB:327.000000, SB:327.000000
GA:476.000000, SA:476.000000, GB:312.000000, SB:312.000000
GA:476.000000, SA:476.000000, GB:313.000000, SB:313.000000
GA:476.000000, SA:476.000000, GB:314.000000, SB:314.000000
GA:476.000000, SA:476.000000, GB:315.000000, SB:315.000000
GA:476.000000, SA:476.000000, GB:316.000000, SB:316.000000
GA:476.000000, SA:476.000000, GB:317.000000, SB:317.000000
GA:476.000000, SA:476.000000, GB:318.000000, SB:318.000000
GA:476.000000, SA:476.000000, GB:319.000000, SB:319.000000
GA:476.000000, SA:476.000000, GB:320.000000, SB:320.000000
GA:476.000000, SA:476.000000, GB:321.000000, SB:321.000000
GA:476.000000, SA:476.000000, GB:322.000000, SB:322.000000
GA:476.000000, SA:476.000000, GB:323.000000, SB:323.000000
GA:476.000000, SA:476.000000, GB:324.000000, SB:324.000000
GA:476.000000, SA:476.000000, GB:325.000000, SB:325.000000
GA:476.000000, SA:476.000000, GB:326.000000, SB:326.000000
GA:476.000000, SA:476.000000, GB:327.000000, SB:327.000000
GA:508.000000, SA:508.000000, GB:312.000000, SB:312.000000
GA:508.000000, SA:508.000000, GB:313.000000, SB:313.000000
GA:508.000000, SA:508.000000, GB:314.000000, SB:314.000000
GA:508.000000, SA:508.000000, GB:315.000000, SB:315.000000
GA:508.000000, SA:508.000000, GB:316.000000, SB:316.000000
GA:508.000000, SA:508.000000, GB:317.000000, SB:317.000000
GA:508.000000, SA:508.000000, GB:318.000000, SB:318.000000
GA:508.000000, SA:508.000000, GB:319.000000, SB:319.000000
GA:508.000000, SA:508.000000, GB:320.000000, SB:320.000000
GA:508.000000, SA:508.000000, GB:321.000000, SB:321.000000
GA:508.000000, SA:508.000000, GB:322.000000, SB:322.000000
GA:508.000000, SA:508.000000, GB:323.000000, SB:323.000000
GA:508.000000, SA:508.000000, GB:324.000000, SB:324.000000
GA:508.000000, SA:508.000000, GB:325.000000, SB:325.000000
GA:508.000000, SA:508.000000, GB:326.000000, SB:326.000000
GA:508.000000, SA:508.000000, GB:327.000000, SB:327.000000
GA:156.000000, SA:156.000000, GB:312.000000, SB:312.000000
GA:156.000000, SA:156.000000, GB:313.000000, SB:313.000000
GA:156.000000, SA:156.000000, GB:314.000000, SB:314.000000
GA:156.000000, SA:156.000000, GB:315.000000, SB:315.000000
GA:156.000000, SA:156.000000, GB:316.000000, SB:316.000000
GA:156.000000, SA:156.000000, GB:317.000000, SB:317.000000
GA:156.000000, SA:156.000000, GB:318.000000, SB:318.000000
GA:156.000000, SA:156.000000, GB:319.000000, SB:319.000000
GA:156.000000, SA:156.000000, GB:320.000000, SB:320.000000
GA:156.000000, SA:156.000000, GB:321.000000, SB:321.000000
GA:156.000000, SA:156.000000, GB:322.000000, SB:322.000000
GA:156.000000, SA:156.000000, GB:323.000000, SB:323.000000
GA:156.000000, SA:156.000000, GB:324.000000, SB:324.000000
GA:156.000000, SA:156.000000, GB:325.000000, SB:325.000000
GA:156.000000, SA:156.000000, GB:326.000000, SB:326.000000
GA:156.000000, SA:156.000000, GB:327.000000, SB:327.000000
GA:188.000000, SA:188.000000, GB:312.000000, SB:312.000000
GA:188.000000, SA:188.000000, GB:313.000000, SB:313.000000
GA:188.000000, SA:188.000000, GB:314.000000, SB:314.000000
GA:188.000000, SA:188.000000, GB:315.000000, SB:315.000000
GA:188.000000, SA:188.000000, GB:316.000000, SB:316.000000
GA:188.000000, SA:188.000000, GB:317.000000, SB:317.000000
GA:188.000000, SA:188.000000, GB:318.000000, SB:318.000000
GA:188.000000, SA:188.000000, GB:319.000000, SB:319.000000
GA:188.000000, SA:188.000000, GB:320.000000, SB:320.000000
GA:188.000000, SA:188.000000, GB:321.000000, SB:321.000000
GA:188.000000, SA:188.000000, GB:322.000000, SB:322.000000
GA:188.000000, SA:188.000000, GB:323.000000, SB:323.000000
GA:188.000000, SA:188.000000, GB:324.000000, SB:324.000000
GA:188.000000, SA:188.000000, GB:325.000000, SB:325.000000
GA:188.000000, SA:188.000000, GB:326.000000, SB:326.000000
GA:188.000000, SA:188.000000, GB:327.000000, SB:327.000000
GA:92.000000, SA:92.000000, GB:312.000000, SB:312.000000
GA:92.000000, SA:92.000000, GB:313.000000, SB:313.000000
GA:92.000000, SA:92.000000, GB:314.000000, SB:314.000000
GA:92.000000, SA:92.000000, GB:315.000000, SB:315.000000
